celltype_id,sample_id
13-monocyte,adult-lung-3.4
13-monocyte,adult-muscle-1
13-monocyte,adult-omentum-2
13-monocyte,adult-omentum-3
13-monocyte,adult-peripheral-blood-1
13-monocyte,adult-peripheral-blood-3.1
13-monocyte,adult-peripheral-blood-3.2
13-monocyte,adult-peripheral-blood-4.1
13-monocyte,adult-peripheral-blood-4.2
13-monocyte,adult-peripheral-blood-4.3
13-monocyte,adult-pleura-1
13-monocyte,adult-prostate-1
13-monocyte,adult-rectum-1
13-monocyte,adult-sigmoid-colon-1
13-monocyte,adult-spleen-1.1
13-monocyte,adult-spleen-1.2
13-monocyte,adult-stomach-2
13-monocyte,adult-stomach-3.2
13-monocyte,adult-stomach-3.3
13-monocyte,adult-temporal-lobe-1
13-monocyte,adult-thyroid-1
13-monocyte,adult-thyroid-2
13-monocyte,adult-trachea-2
13-monocyte,adult-transverse-colon-1
13-monocyte,adult-transverse-colon-2.1
13-monocyte,adult-transverse-colon-2.2
13-monocyte,adult-uterus-1
13-monocyte,chorionic-villus-1
13-monocyte,cord-blood-1
13-monocyte,cord-blood-2.1
13-monocyte,cord-blood-2.2
13-monocyte,cord-blood-cd34p-1
13-monocyte,cord-blood-cd34p-2.1
13-monocyte,cord-blood-cd34p-2.2
13-monocyte,fetal-adrenal-gland-2
13-monocyte,fetal-adrenal-gland-3
13-monocyte,fetal-adrenal-gland-4
13-monocyte,fetal-brain-4
13-monocyte,fetal-calvaria-1
13-monocyte,fetal-female-gonad-1
13-monocyte,fetal-female-gonad-2
13-monocyte,fetal-intestine-2
13-monocyte,fetal-intestine-3
13-monocyte,fetal-intestine-4
13-monocyte,fetal-intestine-5
13-monocyte,fetal-kidney-3
13-monocyte,fetal-kidney-4
13-monocyte,fetal-kidney-5
13-monocyte,fetal-liver-1.1
13-monocyte,fetal-liver-1.2
13-monocyte,fetal-lung-1
13-monocyte,fetal-lung-2
13-monocyte,fetal-male-gonad-1
13-monocyte,fetal-male-gonad-2
13-monocyte,fetal-muscle-1
13-monocyte,fetal-pancreas-1
13-monocyte,fetal-pancreas-2
13-monocyte,fetal-pancreas-3
13-monocyte,fetal-rib-3
13-monocyte,fetal-skin-2
13-monocyte,fetal-skin-3
13-monocyte,fetal-spinal-cord-1
13-monocyte,fetal-stomach-2
13-monocyte,neonatal-adrenal-gland-1.1
13-monocyte,neonatal-adrenal-gland-1.2
13-monocyte,placenta-1
14-b-cell-plasmocyte,adult-adrenal-gland-1
14-b-cell-plasmocyte,adult-adrenal-gland-2
14-b-cell-plasmocyte,adult-artery-1
14-b-cell-plasmocyte,adult-bladder-1
14-b-cell-plasmocyte,adult-bladder-2
14-b-cell-plasmocyte,adult-bone-marrow-1
14-b-cell-plasmocyte,adult-bone-marrow-2
14-b-cell-plasmocyte,adult-brain-1
14-b-cell-plasmocyte,adult-cervix-1
14-b-cell-plasmocyte,adult-esophagus-1
14-b-cell-plasmocyte,adult-fallopian-tube-1
14-b-cell-plasmocyte,adult-gall-bladder-2
14-b-cell-plasmocyte,adult-heart-1
14-b-cell-plasmocyte,adult-intestine-1
14-b-cell-plasmocyte,adult-intestine-2
14-b-cell-plasmocyte,adult-intestine-3
14-b-cell-plasmocyte,adult-intestine-4
14-b-cell-plasmocyte,adult-intestine-5
14-b-cell-plasmocyte,adult-intestine-6
14-b-cell-plasmocyte,adult-kidney-2
14-b-cell-plasmocyte,adult-kidney-3
14-b-cell-plasmocyte,adult-kidney-4.1
14-b-cell-plasmocyte,adult-kidney-4.2
14-b-cell-plasmocyte,adult-liver-1
14-b-cell-plasmocyte,adult-liver-2
14-b-cell-plasmocyte,adult-liver-4.1
14-b-cell-plasmocyte,adult-liver-4.2
14-b-cell-plasmocyte,adult-lung-1
14-b-cell-plasmocyte,adult-lung-2
14-b-cell-plasmocyte,adult-lung-3.1
14-b-cell-plasmocyte,adult-lung-3.2
14-b-cell-plasmocyte,adult-lung-3.3
14-b-cell-plasmocyte,adult-lung-3.4
14-b-cell-plasmocyte,adult-muscle-1
14-b-cell-plasmocyte,adult-omentum-2
14-b-cell-plasmocyte,adult-omentum-3
14-b-cell-plasmocyte,adult-pancreas-1
14-b-cell-plasmocyte,adult-peripheral-blood-1
14-b-cell-plasmocyte,adult-peripheral-blood-2
14-b-cell-plasmocyte,adult-peripheral-blood-3.1
14-b-cell-plasmocyte,adult-peripheral-blood-3.2
14-b-cell-plasmocyte,adult-peripheral-blood-4.1
14-b-cell-plasmocyte,adult-peripheral-blood-4.2
14-b-cell-plasmocyte,adult-peripheral-blood-4.3
14-b-cell-plasmocyte,adult-pleura-1
14-b-cell-plasmocyte,adult-rectum-1
14-b-cell-plasmocyte,adult-sigmoid-colon-1
14-b-cell-plasmocyte,adult-spleen-1.1
14-b-cell-plasmocyte,adult-spleen-1.2
14-b-cell-plasmocyte,adult-stomach-1
14-b-cell-plasmocyte,adult-stomach-2
14-b-cell-plasmocyte,adult-stomach-3.1
14-b-cell-plasmocyte,adult-stomach-3.2
14-b-cell-plasmocyte,adult-stomach-3.3
14-b-cell-plasmocyte,adult-thyroid-2
14-b-cell-plasmocyte,adult-trachea-2
14-b-cell-plasmocyte,adult-transverse-colon-1
14-b-cell-plasmocyte,adult-transverse-colon-2.1
14-b-cell-plasmocyte,adult-transverse-colon-2.2
14-b-cell-plasmocyte,adult-ureter-1
14-b-cell-plasmocyte,chorionic-villus-1
14-b-cell-plasmocyte,fetal-intestine-5
14-b-cell-plasmocyte,fetal-liver-1.1
14-b-cell-plasmocyte,fetal-liver-1.2
14-b-cell-plasmocyte,fetal-pancreas-1
14-b-cell-plasmocyte,fetal-spinal-cord-1
14-b-cell-plasmocyte,placenta-1
15-fetal-enterocyte,adult-brain-1
15-fetal-enterocyte,adult-gall-bladder-2
15-fetal-enterocyte,adult-intestine-2
15-fetal-enterocyte,adult-intestine-5
15-fetal-enterocyte,adult-intestine-6
15-fetal-enterocyte,adult-kidney-2
15-fetal-enterocyte,adult-kidney-4.1
15-fetal-enterocyte,adult-liver-4.1
15-fetal-enterocyte,adult-prostate-1
15-fetal-enterocyte,adult-stomach-3.2
15-fetal-enterocyte,adult-thyroid-1
15-fetal-enterocyte,adult-transverse-colon-1
15-fetal-enterocyte,adult-transverse-colon-2.2
15-fetal-enterocyte,fetal-adrenal-gland-2
15-fetal-enterocyte,fetal-intestine-1
15-fetal-enterocyte,fetal-intestine-2
15-fetal-enterocyte,fetal-intestine-3
15-fetal-enterocyte,fetal-intestine-4
15-fetal-enterocyte,fetal-intestine-5
15-fetal-enterocyte,fetal-kidney-3
15-fetal-enterocyte,fetal-kidney-4
15-fetal-enterocyte,fetal-kidney-5
15-fetal-enterocyte,fetal-kidney-6
15-fetal-enterocyte,fetal-lung-1
15-fetal-enterocyte,fetal-pancreas-2
15-fetal-enterocyte,fetal-rib-3
15-fetal-enterocyte,fetal-spinal-cord-1
15-fetal-enterocyte,fetal-stomach-1
15-fetal-enterocyte,fetal-stomach-2
16-hepatocyte-endodermal-cell,adult-intestine-2
16-hepatocyte-endodermal-cell,adult-intestine-5
16-hepatocyte-endodermal-cell,adult-intestine-6
16-hepatocyte-endodermal-cell,fetal-adrenal-gland-2
16-hepatocyte-endodermal-cell,fetal-intestine-1
16-hepatocyte-endodermal-cell,fetal-intestine-2
16-hepatocyte-endodermal-cell,fetal-intestine-3
16-hepatocyte-endodermal-cell,fetal-intestine-4
16-hepatocyte-endodermal-cell,fetal-intestine-5
16-hepatocyte-endodermal-cell,fetal-stomach-1
16-hepatocyte-endodermal-cell,fetal-stomach-2
17-fetal-fibroblast,adult-bladder-2
17-fetal-fibroblast,adult-fallopian-tube-1
17-fetal-fibroblast,adult-lung-2
